PLU,Item Name,Qty,Total $,Net $,Sales %
,Antipasto Salad,29,347.71,347.71,1.07%
,Chef Salad,12,143.88,143.88,0.44%
,Grilled Chicken Salad,18,215.82,215.82,0.66%
,Tossed Salad,5,54.95,54.95,0.17%
,Greek Chicken Salad,6,89.94,89.94,0.28%
,Greek Salad,21,255.39,255.39,0.78%
,,,,,
,,,,,
Report Group: Sandwiches,,35,$397.65,$397.65,1.22%
,Giant Corned Beef,8,127.92,127.92,0.39%
,Corned Beef Sandwich,15,149.85,149.85,0.46%
,Spicy Chicken Sandwich,12,119.88,119.88,0.37%
,,,,,
,,,,,
Report Group: SandwichMods,,37,$39.82,$35.86,0.11%
,Fries,16,31.84,27.88,0.09%
,Cajun Fries,1,3.99,3.99,0.01%
,BBQ Fries,1,3.99,3.99,0.01%
,No Fries,19,0,0,0.00%
,,,,,
,,,,,
Report Group: Sauces,,133,$253.15,$253.15,0.78%
,Honey French,1,0,0,0.00%
,Ranch,1,0,0,0.00%
,Bleu Cheese,1,0,0,0.00%
,Lemon Pepper,1,1.49,1.49,0.00%
,Garlic Cream Cheese,1,1.99,1.99,0.01%
,Garlic Butter,2,2.98,2.98,0.01%
,Pizza Sauce,22,35.03,35.03,0.11%
,Original BBQ,6,8.94,8.94,0.03%
,Hot Honey,2,2.98,2.98,0.01%
,Dressings,3,4.47,4.47,0.01%
,Hot and Spicy,1,1.49,1.49,0.00%
,Ranch ,79,119.96,119.96,0.37%
,Bottle of Ranch,12,71.88,71.88,0.22%
,Honey Mustard,1,1.94,1.94,0.01%
,,,,,
,,,,,
Report Group: Seafood,,18,$307.82,$307.82,0.94%
,Alaskan Cod Dinner,8,127.92,127.92,0.39%
,20pc Jumbo Shrimp,3,74.97,74.97,0.23%
,10pc Jumbo Shrimp,7,104.93,104.93,0.32%
,,,,,
,,,,,
Report Group: SeafoodMods,,54,$11.97,$11.97,0.04%
,BBQ Fries,1,1.99,1.99,0.01%
,Fries,16,0,0,0.00%
,No Fries,1,0,0,0.00%
,Bread,18,0,0,0.00%
,No Dip Sauce,1,0,0,0.00%
,Add Cod,1,9.98,9.98,0.03%
,Cocktail Sauce,8,0,0,0.00%
,Tartar Sauce,8,0,0,0.00%
,,,,,
,,,,,
Report Group: SubMods,,42,$35.32,$35.32,0.11%
,Fries,13,25.87,25.87,0.08%
,No Fries,16,0,0,0.00%
,Mild Peppers,1,0,0,0.00%
,Mushroom,1,0,0,0.00%
,Jalapeno,1,0,0,0.00%
,Tomato,1,1.99,1.99,0.01%
,Mozzarella Cheese,1,0,0,0.00%
,Mayo,2,0,0,0.00%
,Italian Dressing,1,1.49,1.49,0.00%
,Lettuce,1,0,0,0.00%
,Bacon,4,5.97,5.97,0.02%
,,,,,
,,,,,
Report Group: Subs,,31,$355.69,$355.69,1.09%
,Grilled Chicken Sub,7,83.93,83.93,0.26%
,Steak and Cheese Sub,4,47.96,47.96,0.15%
,Turkey Sub,5,54.95,54.95,0.17%
,Italian Sub,10,109.9,109.9,0.34%
,Pizza Sub,1,10.99,10.99,0.03%
,Turkey Club Sub,4,47.96,47.96,0.15%
,,,,,
,,,,,
Report Group: WingMods,,875,$272.34,$272.34,0.84%
,Fries,97,120.6,120.6,0.37%
,Cajun Fries,2,7.98,7.98,0.02%
,No Fries,141,0,0,0.00%
,Bread,36,0,0,0.00%
,No Bread,1,0,0,0.00%
,Mango Habanero,14,2.98,2.98,0.01%
,Lemon Pepper,8,3.72,3.72,0.01%
,Flats only,4,3.53,3.53,0.01%
,Hot Honey,26,5.21,5.21,0.02%
,Sweet Red Chili,8,1.49,1.49,0.00%
,Garlic Parmesan,23,10.3,10.3,0.03%
,Tossed in Sauce,99,0,0,0.00%
,Nashville Hot,5,1.49,1.49,0.00%
,Hot and Spicy,47,7.45,7.45,0.02%
,Ranch Dip Sauce,20,6.86,6.86,0.02%
,Plain,39,0,0,0.00%
,Sauce on Side,76,0,0,0.00%
,Cook Light,2,0,0,0.00%
,WELL DONE,37,0,0,0.00%
,Ranch,56,70.03,70.03,0.21%
,No Sauce,39,4.92,4.92,0.02%
,Original BBQ,87,16.84,16.84,0.05%
,Bleu Cheese,7,8.94,8.94,0.03%
,Hot BBQ,1,0,0,0.00%
,,,,,
,,,,,
Report Group: Wings,,240,"$3,492.10","$3,492.10",10.72%
,Wing Dings,150,2244,2244,6.89%
,Boneless Wings,53,759.67,759.67,2.33%
,Chicken Tenders,37,488.43,488.43,1.50%
,,,,,
,,,,,
,,,Tax: $517.30,"Adj for Order/Multi-Item Coupons: -$1,386.62",
,,,"Total: $34,541.10","Total: $31,197.45",
