plu,item_name,qty,gross_cents,net_cents,sales_pct,is_numeric_qty
nan,Add Cod,1,350,350,0.01%,True
nan,Cocktail Sauce,13,149,149,0.00%,True
nan,Tartar Sauce,15,149,149,0.00%,True
nan,No Dip Sauce,1,388,388,0.01%,True
nan,,,,,,False
nan,,,,,,False
Report Group: SubMods,,29,,,0.07%,True
nan,Fries,8,1592,1592,0.05%,True
nan,No Fries,11,0,0,0.00%,True
nan,Salami,1,199,199,0.01%,True
nan,Mild Peppers,1,0,0,0.00%,True
nan,Italian Sausage,2,0,0,0.00%,True
nan,Mushroom,1,0,0,0.00%,True
nan,Jalapeno,1,0,0,0.00%,True
nan,Tomato,1,199,199,0.01%,True
nan,Pineapple,1,0,0,0.00%,True
nan,Pepperoni,2,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Subs,,20,,,0.75%,True
nan,Grilled Chicken Sub,1,1199,1199,0.04%,True
nan,Steak and Cheese Sub,3,3597,3597,0.12%,True
nan,Turkey Sub,3,3297,3297,0.11%,True
nan,Italian Sub,5,5495,5495,0.18%,True
nan,Pizza Sub,3,3297,3297,0.11%,True
nan,Turkey Club Sub,5,5995,5995,0.20%,True
nan,,,,,,False
nan,,,,,,False
Report Group: WingMods,,826,,,0.69%,True
nan,Fries,84,8816,8816,0.29%,True
nan,Extra Bread,2,198,198,0.01%,True
nan,Cajun Fries,5,1995,1995,0.07%,True
nan,No Fries,145,0,0,0.00%,True
nan,Bread,39,0,0,0.00%,True
nan,No Bread,2,0,0,0.00%,True
nan,Mango Habanero,20,447,447,0.01%,True
nan,Lemon Pepper,13,268,268,0.01%,True
nan,Flats only,2,251,251,0.01%,True
nan,Hot Honey,14,596,596,0.02%,True
nan,Sweet Red Chili,10,224,224,0.01%,True
nan,Garlic Parmesan,20,851,851,0.03%,True
nan,Tossed in Sauce,112,0,0,0.00%,True
nan,Nashville Hot,2,0,0,0.00%,True
nan,Hot and Spicy,49,521,521,0.02%,True
nan,Ranch Dip Sauce,18,596,596,0.02%,True
nan,Plain,30,0,0,0.00%,True
nan,Sauce on Side,67,0,0,0.00%,True
nan,Cook Light,2,0,0,0.00%,True
nan,WELL DONE,22,0,0,0.00%,True
nan,Ranch,39,4172,4172,0.14%,True
nan,No Sauce,30,790,790,0.03%,True
nan,Original BBQ,93,1088,1088,0.04%,True
nan,Bleu Cheese,6,298,298,0.01%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Wings,,234,,,10.96%,True
nan,Wing Dings,144,213836,213375,7.01%,True
nan,Boneless Wings,47,64053,64053,2.11%,True
nan,Chicken Tenders,43,55857,55857,1.84%,True
nan,,,,,,False
nan,,,,,,False
nan,,,,,,False
nan,,,,,,False
